7A918D,93B1A7,99C2A2,C5EDAC,DBFEB8
4C191B,963D5A,C589E8,E3DAFF,ECFFF8
96BBBB,618985,414535,F2E3BC,C19875
FABC3C,FFB238,F19143,FF773D,F55536
4F345A,5D4E6D,8FA998,9CBFA7,C9F299
0E131F,38405F,59546C,8B939C,FF0035
353531,EC4E20,FF9505,016FB9,000000
EDD3C4,C8ADC0,7765E3,3B60E4,080708
30343F,FAFAFF,E4D9FF,273469,1E2749
B2AA8E,0C1B33,7A306C,03B5AA,DBFE87
E0ACD5,3993DD,F4EBE8,29E7CD,6A3E37
817F82,AE8CA3,A2ABB5,95D9DA,6DD6DA
2589BD,187795,38686A,A3B4A2,CDC6AE
C8C8C8,B3B3B3,BBB891,DC965A,242325
ECFEAA,E2DE84,A6A670,86836D,626267
F2C57C,DDAE7E,7FB685,426A5A,EF6F6C
001011,093A3E,3AAFB9,64E9EE,97C8EB
8895B3,8E94F2,9FA0FF,BBADFF,DAB6FC
2E3532,7E9181,C7CEDB,A0AAB2,94849B
9EBC9E,FFCFD2,FFAFC5,553E4E,E0479E
C5EFCB,020402,758173,A9C5A0,C6DEC6
0A1045,00C2D1,F9E900,F6AF65,ED33B9
18206F,17255A,F5E2C8,D88373,BD1E1E
031D44,04395E,70A288,DAB785,D5896F
040303,3A4E48,6A7B76,8B9D83,BEB0A7
000000,839788,EEE0CB,BAA898,BFD7EA
F3E37C,F3D34A,EEA243,F3A738,F1D9A7
C9F0FF,EAFFFD,EFEFF0,D5CAD6,6B5E62
160C28,EFCB68,E1EFE6,AEB7B3,000411
F3B700,FAA300,E57C04,FF6201,F63E02
C8C8C8,B3B3B3,BBB891,DC965A,242325
C19AB7,9C95DC,228CDB,0B7189,170A1C
104F55,32746D,9EC5AB,01200F,011502
F3E37C,F3D34A,EEA243,F3A738,322E18
BA1200,031927,9DD1F1,508AA8,C8E0F4
0D0A0B,454955,F3EFF5,72B01D,3F7D20
93B5C6,DDEDAA,F0CF65,CFD186,E3655B
61210F,EA2B1F,EDAE49,F9DF74,F9EDCC
78C0E0,449DD1,150578,0E0E52,3943B7
EEC643,141414,EEF0F2,0D21A1,011638
C78283,F3D9DC,D7BEA8,B49286,744253
8EDCE6,D5DCF9,A7B0CA,725E54,443627
60463B,856A5D,CCC9E7,6C6F7D,2E3138
CCD7C5,EFD2CB,C7A27C,D65780,EE9480
156064,00C49A,F8E16C,FFC2B4,FB8F67
14281D,355834,6E633D,C2A878,F1F5F2
DEFFFC,E2E4F6,E7C8DD,DBAFC1,86626E
000000,3D2645,832161,DA4167,F0EFF4
EFF7CF,BAD9B5,ABA361,732C2C,420C14
C6EBBE,A9DBB8,7CA5B8,38369A,020887
4464AD,A4B0F5,F58F29,7D4600,466995
006E90,F18F01,ADCAD6,99C24D,41BBD9
E4572E,29335C,F3A712,A8C686,669BBC
331832,D81E5B,F0544F,C6D8D3,FDF0D5
2F4B26,3E885B,85BDA6,BEDCFE,C0D7BB
D30C7B,FFE3DC,DBB4AD,A2AD91,3A2D32
000000,7F95D1,FF82A9,FFC0BE,FFEBE7
AD343E,474747,F2AF29,000000,E0E0CE
FCE762,FFFDED,FFB17A,4F4789,201335
E8EBE4,D2D5DD,B8BACF,999AC6,798071
E3DFFF,D3C0CD,B19994,937666,3D3A4B
0A122A,698F3F,FBFAF8,E7DECD,804E49
EF798A,F7A9A8,7D82B8,613F75,E5C3D1
ECBA82,81C14B,2E933C,297045,204E4A
0B0A07,BBCEA8,E3D87E,F0EC57,748067
CACFD6,D6E5E3,9FD8CB,517664,2D3319
DABFFF,907AD6,4F518C,2C2A4A,7FDEFF
5C6F68,8AA39B,95D9C3,A4F9C8,A7FFF6
ACBDBA,CDDDDD,A599B5,2E2F2F,051014
3E5641,A24936,D36135,282B28,83BCA9
F7F0F5,DECBB7,8F857D,5C5552,433633
C5D1EB,92AFD7,5A7684,395B50,1F2F16
DAB6C4,7B886F,B4DC7F,FEFFA5,FFA0AC
011638,364156,CDCDCD,DFF8EB,214E34
462255,313B72,62A87C,7EE081,C3F3C0
00FFC5,ADF5FF,0075A2,481620,D55672
2A4D14,317B22,67E0A3,7CF0BD,AFF9C9
6A0136,BFAB25,B81365,026C7C,055864
0D1821,344966,E6AACE,F0F4EF,BFCC94
DDFFD9,ECC8AE,D7907B,6C4B5E,B3679B
C5FFFD,88D9E6,8B8BAE,526760,374B4A
D6FF79,B0FF92,FFF2F1,A09BE7,5F00BA
DBC2CF,9FA2B2,3C7A89,2E4756,16262E
E3C0D3,95818D,576066,2C514C,122932
272727,2B50AA,FF9FE5,FFD4D4,FF858D
30BCED,303036,FFFAFF,FC5130,050401
69DDFF,96CDFF,D8E1FF,DBBADD,BE92A2
DBB3B1,C89FA3,A67F8E,6C534E,2C1A1D
7C9EB2,52528C,372554,231123,000000
6B6D76,A69888,FCBFB7,334E58,33261D
001B2E,294C60,ADB6C4,FFEFD3,FFC49B
D30C7B,FFE3DC,DBB4AD,A2AD91,3A2D32
FA7921,FE9920,B9A44C,566E3D,0C4767
DDFFF7,93E1D8,FFA69E,AA4465,861657
E6EFE9,C5F4E0,C2EABA,A7C4A0,8F8389
BFD7EA,91AEC1,508CA4,0A8754,004F2D
E85D75,C76D7E,9F8082,8D918B,AD9B9A
F4FEC1,D9F9A5,D2D68D,81726A,68534D
000000,FFFFFF,494949,7C7A7A,FF5D73
EEF4D4,DAEFB3,EA9E8D,D64550,1C2826
BCF4F5,B4EBCA,D9F2B4,D3FAC7,FFB7C3
514B23,656839,CBC9AD,CBD0B9,BDDBD0
F7B2B7,F7717D,DE639A,7F2982,16001E
FF595E,FFCA3A,8AC926,1982C4,6A4C93
FAA916,FBFFFE,6D676E,1B1B1E,96031A
DAD6D6,92BFB1,F4AC45,694A38,A61C3C
313628,595358,857F74,A4AC96,CADF9E
713E5A,63A375,EDC79B,D57A66,CA6680
EAF2EF,912F56,521945,361F27,0D090A
D6FFB7,F5FF90,FFC15E,FF9F1C,080357
3AB795,A0E8AF,86BAA1,EDEAD0,FFCF56
F5CCE8,EC9DED,C880B7,9F6BA0,4A2040
000000,586F7C,B8DBD9,F4F4F9,04724D
